#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
ENY2	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EP300	E1A binding protein p300 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EWSR1	EWS RNA binding protein 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
FHL2	four and a half LIM domains 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
FHL3	four and a half LIM domains 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
FUS	FUS RNA binding protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
GMNN	geminin DNA replication inhibitor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
GON4L	gon-4 like [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
GPS2	G protein pathway suppressor 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HCFC1	host cell factor C1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HCFC2	host cell factor C2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HDAC1	histone deacetylase 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HDAC3	histone deacetylase 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HDAC7	histone deacetylase 7 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HIRA	histone cell cycle regulator [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HMGB1	high mobility group box 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HMGB2	high mobility group box 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HR	HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HTATIP2	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
HYAL2	hyaluronidase 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ING4	inhibitor of growth family member 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
IRF2BP1	interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
IRF2BP2	interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
JADE1	jade family PHD finger 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
JMJD1C	jumonji domain containing 1C [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
JMY	junction mediating and regulatory protein|p53 cofactor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
JUP	junction plakoglobin [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KCTD1	potassium channel tetramerization domain containing 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KDM1A	lysine demethylase 1A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KDM3A	lysine demethylase 3A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KDM3B	lysine demethylase 3B [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KDM4C	lysine demethylase 4C [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KDM7A	lysine demethylase 7A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KMT2C	lysine methyltransferase 2C [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
KMT2E	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LDB1	LIM domain binding 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LIMD1	LIM domain containing 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LMCD1	LIM and cysteine rich domains 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LMO4	LIM domain only 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LPIN1	lipin 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LPIN2	lipin 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LPIN3	lipin 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
LPXN	leupaxin [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MAGED1	MAGE family member D1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MAML1	mastermind like transcriptional coactivator 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MAML2	mastermind like transcriptional coactivator 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
